I Enjoy Learning Mathematics,I Feel Confident When Solving Math Problems,Mathematics Is Useful In Real Life,I Get Anxious During Mathematics Lessons,I Believe I Can Perform Well In Mathematics,There Are Enough Mathematics Textbooks For All Students,"The School Provides Mathematical Instruments (Rulers, Compasses, Sets)",Teachers Use Relevant Teaching Aids Like Charts And Models,Students Have Access To Practice Tests And Past Papers For Mathematics,Learning Materials Are Updated To Reflect The Current Syllabus,Name Of The School.,Sub-County,County,Gender,Attitude,Availability of learning materials
4.0,5,4.0,1.0,5.0,5.0,,5,5.0,1.0,Budokomi_Mixed,Busia ,Busia ,Male,3.8,4.0
4.0,4,4.0,1.0,5.0,5.0,5.0,5,5.0,5.0,Budokomi_Mixed,Busia,Busia ,Male,3.6,5.0
4.0,4,4.0,2.0,4.0,,4.0,3,4.0,4.0,Budokomi_Mixed,busia,busia,Male,3.6,3.75
5.0,4,4.0,2.0,4.0,4.0,4.0,4,4.0,4.0,Budokomi_Mixed,Busia ,Busia ,Male,3.8,4.0
4.0,4,4.0,2.0,3.0,3.0,4.0,4,4.0,4.0,Budokomi_Mixed,busia,busia,Female,3.4,3.8
4.0,5,5.0,1.0,5.0,5.0,5.0,4,4.0,4.0,Budokomi_Mixed,Busia,Busia,Male,4.0,4.4
4.0,5,4.0,2.0,3.0,3.0,3.0,3,4.0,4.0,Budokomi_Mixed,busia,busia,Female,3.6,3.4
4.0,4,4.0,1.0,5.0,5.0,5.0,4,4.0,4.0,Budokomi_Mixed,Busia,Busia,Male,3.6,4.4
5.0,5,5.0,2.0,5.0,5.0,5.0,4,5.0,4.0,Budokomi_Mixed,Busia,Busia,Male,4.4,4.6
5.0,5,5.0,1.0,5.0,5.0,5.0,5,5.0,5.0,Budokomi_Mixed,Busia,Busia ,Female,4.2,5.0
5.0,5,5.0,1.0,5.0,5.0,5.0,5,5.0,5.0,Budokomi_Mixed,Busia ,Busia ,Female,4.2,5.0
5.0,4,4.0,1.0,5.0,5.0,5.0,3,4.0,4.0,Budokomi_Mixed,Busia,Busia,Male,3.8,4.2
5.0,5,5.0,1.0,5.0,5.0,4.0,4,4.0,4.0,Budokomi_Mixed,Busia,Busia,Male,4.2,4.2
5.0,5,5.0,1.0,4.0,5.0,5.0,4,5.0,5.0,Budokomi_Mixed,Busia,busia,Male,4.0,4.8
4.0,5,5.0,1.0,5.0,4.0,5.0,4,5.0,4.0,Budokomi_Mixed,Busia,busia,Female,4.0,4.4
4.0,5,4.0,2.0,4.0,4.0,5.0,5,5.0,5.0,Budokomi_Mixed,Busia ,Busia ,Male,3.8,4.8
4.0,4,4.0,2.0,4.0,4.0,5.0,5,5.0,4.0,Budokomi_Mixed,Busia,Busia ,Male,3.6,4.6
5.0,4,5.0,2.0,5.0,4.0,5.0,5,5.0,5.0,Budokomi_Mixed,Busia,Busia,Male,4.2,4.8
5.0,5,5.0,1.0,5.0,5.0,5.0,5,4.0,4.0,Budokomi_Mixed,Busia,Busiq,Male,4.2,4.6
5.0,5,5.0,1.0,5.0,5.0,5.0,5,5.0,5.0,Budokomi_Mixed,Busia,Busia,Male,4.2,5.0
5.0,5,5.0,1.0,5.0,5.0,5.0,5,5.0,5.0,Budokomi_Mixed,Busia,Busia,Male,4.2,5.0
