SCHOOL,GRADE_POINTS,Attitude,Availability of learning materials,IN-SERVICE TRAINING
Budokomi_Mixed,2.143835616438356,4.022857142857143,4.147142857142858,3.8
Kaudha_Mixed,2.227906976744186,3.8853395061728397,3.1347222222222224,4.475
Magunga_Mixed,2.8046272493573263,3.6571428571428575,3.142857142857143,3.6
Malele_Mixed,2.055393586005831,4.163483146067416,2.9595505617977524,3.5
Nyalunya_Mixed,1.4823529411764707,3.5869999999999997,3.13,2.85
Ojola_Mixed,1.6666666666666667,3.5416666666666665,3.104761904761905,2.5
