 I enjoy learning mathematics,   I feel confident when solving math problems ,  Mathematics is useful in real life  ,  I get anxious during mathematics lessons  ,  I believe I can perform well in mathematics  ,  There are enough mathematics textbooks for all students  ,"  The school provides mathematical instruments (rulers, compasses, sets)  ",  Teachers use relevant teaching aids like charts and models  ,  Students have access to practice tests and past papers for mathematics  ,  Learning materials are updated to reflect the current syllabus  ,NAME OF THE SCHOOL.,SUB-COUNTY,COUNTY,GENDER
Strongly Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Neutral,Strongly agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Neutral,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,,Neutral,Agree,Neutral,Strongly Disagree,Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Agree,Strongly agree,Strongly Disagree,Strongly disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Agree,Disagree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Disagree,Agree,Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Agree,Strongly disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Neutral,Agree,Disagree,Strongly disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Strongly agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Kaudha_Mixed,Wagai,Siaya,Male
Disagree,Strongly disagree,Neutral,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Kaudha_Mixed,Wagai,Siaya,Male
Disagree,Strongly disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Neutral,Agree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Strongly disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Disagree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Disagree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Disagree,Neutral,Strongly Agree,Strongly agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly Agree,Disagree,,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Neutral,Strongly agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Agree,Strongly agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,Strongly Agree,Neutral,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Agree,Strongly agree,Strongly Agree,Strongly agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Neutral,Strongly agree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Disagree,Neutral,Strongly agree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Neutral,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Neutral,Strongly agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Kaudha_Mixed,Wagai,Siaya,Female
,Strongly agree,Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Agree,Strongly agree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Neutral,Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Disagree,Strongly agree,Strongly agree,,Strongly disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Disagree,Strongly agree,Strongly agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Neutral,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Neutral,Strongly agree,Strongly Agree,Strongly agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
