 I enjoy learning mathematics,   I feel confident when solving math problems ,  Mathematics is useful in real life  ,  I get anxious during mathematics lessons  ,  I believe I can perform well in mathematics  ,  There are enough mathematics textbooks for all students  ,"  The school provides mathematical instruments (rulers, compasses, sets)  ",  Teachers use relevant teaching aids like charts and models  ,  Students have access to practice tests and past papers for mathematics  ,  Learning materials are updated to reflect the current syllabus  ,NAME OF THE SCHOOL.,SUB-COUNTY,COUNTY,GENDER
Agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Disagree,Strongly agree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly disagree,Nyalunya_Mixed,Wagai ,Siaya,Female
Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Strongly Agree,Strongly agree,Neutral,Strongly Agree,Strongly agree,,Agree,Strongly Agree,Strongly Disagree,Agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Nyalunya_Mixed,Wagai ,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Nyalunya_Mixed,Wagai ,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
Agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Nyalunya_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia ,Busia ,Male
Strongly Agree,Strongly agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Nyalunya_Mixed,Wagai ,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia,Busia,Female
Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly agree,Nyalunya_Mixed,Wagai ,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia ,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Budokomi_Mixed,Busia ,Busia ,Male
Agree,Strongly agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly disagree,Budokomi_Mixed,Busia ,Busia ,Male
Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia,Busia ,Male
Agree,Agree,Agree,Agree,Agree,,Agree,Neutral,Agree,Agree,Budokomi_Mixed,busia,busia,Male
Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Budokomi_Mixed,Busia ,Busia ,Male
Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Budokomi_Mixed,busia,busia,Female
Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Budokomi_Mixed,Busia,Busia,Male
Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Budokomi_Mixed,busia,busia,Female
Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia,Busia ,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia ,Busia ,Female
Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia,busia,Male
Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Budokomi_Mixed,Busia,busia,Female
Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia ,Busia ,Male
Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Budokomi_Mixed,Busia,Busia ,Male
Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Budokomi_Mixed,Busia,Busiq,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia,Busia,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Budokomi_Mixed,Busia ,Busia ,Female
Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Neutral,Agree,Strongly agree,Malele_Mixed,Wagai,Siaya,Male
Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Neutral,Strongly disagree,Agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Neutral,Agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Neutral,Disagree,Agree,Strongly Agree,Strongly agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Disagree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Malele_Mixed,Wagai,Siaya ,Female
Disagree,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai,Siaya,Female
Neutral,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly agree,Malele_Mixed,Wagai,Siaya,Female
Neutral,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai,Siaya ,Female
Neutral,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai,Siaya,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,Malele_Mixed,Wagai,Siaya,Female
Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Neutral,Disagree,Disagree,Strongly Agree,Strongly agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Disagree,Agree,Strongly agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Strongly disagree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Neutral,Strongly agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Malele_Mixed,Wagai,Siaya ,Male
Agree,Agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Malele_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Disagree,Disagree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Disagree,Strongly agree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Disagree,Strongly agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Neutral,Strongly agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly Disagree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Strongly Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Disagree,Agree,Strongly agree,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Disagree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Disagree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Neutral,Strongly Disagree,Strongly agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly agree,Malele_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Malele_Mixed,Wagai ,Siaya ,Male
Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Disagree,Agree,Strongly Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly disagree,Malele_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Malele_Mixed,Wagai ,Siaya ,Male
